Truth,fileA,fileB,lang
F,4_2350542#38#47.java,4_100932#82#103.java,Java
F,4_142902#78#104.java,4_2676871#89#120.java,Java
F,4_1745969#160#165.java,4_2601583#48#56.java,Java
F,4_280336#12#20.java,4_184404#42#44.java,Java
F,4_1878799#359#370.java,4_684569#63#106.java,Java
F,4_321084#307#334.java,4_1114967#69#84.java,Java
F,4_1545239#138#578.java,4_1129528#30#61.java,Java
T,4_1121084#40#51.java,4_999982#18#24.java,Java
F,4_2273008#39#86.java,4_778001#76#248.java,Java
F,4_740231#108#119.java,4_2709322#216#407.java,Java
F,4_329626#64#73.java,4_1320790#31#40.java,Java
F,4_264272#754#780.java,4_135830#203#236.java,Java
F,4_264272#790#816.java,4_1635001#803#815.java,Java
F,4_2215970#211#222.java,4_920276#362#383.java,Java
F,4_2078997#185#195.java,4_1835523#163#178.java,Java
F,4_2078997#244#254.java,4_199111#139#162.java,Java
F,4_1269559#225#243.java,4_2599719#874#900.java,Java
F,4_1269559#225#243.java,4_1802755#301#316.java,Java
F,4_199656#73#77.java,4_2546259#140#158.java,Java
F,4_2704407#39#52.java,4_2196281#602#635.java,Java
F,4_2469197#43#58.java,4_818379#60#81.java,Java
F,4_295236#68#107.java,4_1156117#61#87.java,Java
F,4_699272#254#366.java,4_2646900#194#231.java,Java
F,4_1676100#297#315.java,4_1834805#95#385.java,Java
F,4_836382#21#47.java,4_2142606#23#48.java,Java
F,4_595882#92#102.java,4_1809621#262#285.java,Java
F,4_2181149#45#63.java,4_1751811#245#278.java,Java
F,4_2181149#45#63.java,4_2337215#109#130.java,Java
F,4_694246#20#56.java,4_1840152#594#614.java,Java
F,4_12209#40#79.java,4_717736#140#153.java,Java
F,4_1385566#41#53.java,4_1620218#319#330.java,Java
F,4_1620218#194#210.java,4_1976964#39#89.java,Java
F,4_840994#76#103.java,4_1596280#101#110.java,Java
F,4_1786438#48#83.java,4_1933112#50#59.java,Java
F,4_1786438#48#83.java,4_1700558#56#71.java,Java
F,4_2641354#62#80.java,4_841726#55#115.java,Java
F,4_881137#177#224.java,4_1045821#38#75.java,Java
F,4_1194204#504#560.java,4_43936#302#328.java,Java
F,4_184530#38#50.java,4_2224914#346#365.java,Java
F,4_184530#38#50.java,4_625112#25#42.java,Java
F,4_1537852#276#295.java,4_536217#164#173.java,Java
F,4_2353261#49#65.java,4_2229390#29#52.java,Java
F,4_2063136#54#103.java,4_2688879#37#49.java,Java
F,4_519642#100#112.java,4_942717#45#51.java,Java
F,4_2601530#28#121.java,4_825239#1161#1196.java,Java
F,4_1650#190#201.java,4_2416063#142#158.java,Java
F,4_29425#84#146.java,4_1865885#85#89.java,Java
F,4_415951#154#176.java,4_1161856#11#19.java,Java
F,4_1330483#93#103.java,4_1830236#18#40.java,Java
F,4_937219#22#43.java,4_758449#47#59.java,Java
F,4_1676960#30#41.java,4_1271045#146#369.java,Java
F,4_1729199#79#95.java,4_1149247#14#34.java,Java
F,4_1650257#180#197.java,4_1810839#360#377.java,Java
F,4_1094311#100#113.java,4_1272364#29#39.java,Java
F,4_183804#752#778.java,4_1583048#153#165.java,Java
F,4_1840152#594#614.java,4_981046#706#750.java,Java
F,4_1247433#142#148.java,4_2692691#167#175.java,Java
F,4_1608219#146#160.java,4_2425138#35#45.java,Java
F,4_398175#39#99.java,4_295232#35#46.java,Java
F,4_794620#137#171.java,4_1113498#86#104.java,Java
F,4_712665#265#269.java,4_748852#351#489.java,Java
F,4_918375#256#260.java,4_2348309#790#816.java,Java
F,4_591600#1184#1192.java,4_1982357#26#33.java,Java
F,4_209298#804#830.java,4_2631723#112#123.java,Java
F,4_901651#30#66.java,4_1412964#405#458.java,Java
F,4_85151#8#81.java,4_648366#13#39.java,Java
F,4_197938#245#256.java,4_143487#356#440.java,Java
F,4_197938#245#256.java,4_649022#14#43.java,Java
F,4_2715518#122#137.java,4_1783385#25#65.java,Java
F,4_2222114#56#99.java,4_1112572#52#57.java,Java
F,4_1494993#873#899.java,4_1851161#24#49.java,Java
F,4_57924#141#175.java,4_2024008#15#39.java,Java
F,4_318080#74#105.java,4_207391#48#59.java,Java
F,4_2546168#149#275.java,4_215042#58#70.java,Java
F,4_1809056#264#322.java,4_1461739#19#41.java,Java
F,4_570858#94#106.java,4_124375#26#79.java,Java
F,4_570858#94#106.java,4_1782695#11#74.java,Java
F,4_1000055#168#186.java,4_396851#203#227.java,Java
F,4_687723#110#134.java,4_684569#114#134.java,Java
F,4_707943#837#863.java,4_1772581#98#114.java,Java
F,4_1827257#1369#1374.java,4_753625#754#780.java,Java
F,4_1827257#1369#1374.java,4_2224878#60#125.java,Java
F,4_1607771#838#864.java,4_184404#78#80.java,Java
F,4_1607771#838#864.java,4_2065465#74#133.java,Java
F,4_1609240#359#415.java,4_238585#13#21.java,Java
F,4_853692#50#106.java,4_2027381#127#138.java,Java
F,4_1495157#360#377.java,4_1316166#74#88.java,Java
F,4_1553544#403#417.java,4_1194610#180#187.java,Java
F,4_58295#257#290.java,4_1944189#30#65.java,Java
F,4_1276123#58#99.java,4_1145166#275#349.java,Java
F,4_1835825#10#27.java,4_2222757#114#139.java,Java
F,4_1041358#49#56.java,4_847997#69#97.java,Java
F,4_964253#838#864.java,4_1165806#113#131.java,Java
F,4_1538221#261#272.java,4_1175614#260#327.java,Java
T,4_277906#114#127.java,4_981509#222#233.java,Java
F,4_207381#14#21.java,4_2333916#14#27.java,Java
F,4_2111982#925#1003.java,4_109880#499#540.java,Java
F,4_1385816#49#55.java,4_468200#42#76.java,Java
F,4_992576#39#63.java,4_1802351#838#864.java,Java
F,4_499702#347#477.java,4_1360935#504#513.java,Java
F,4_1869311#691#716.java,4_648366#13#39.java,Java
T,4_168944#152#172.java,4_311323#467#483.java,Java
F,4_2327363#451#460.java,4_1480760#105#116.java,Java
T,4_406522#127#133.java,4_2403960#34#49.java,Java
T,4_2714762#211#241.java,4_2457991#18#34.java,Java
F,4_1623394#32#47.java,4_2246717#79#175.java,Java
F,4_2430560#838#864.java,4_1921479#47#65.java,Java
T,4_927573#96#119.java,4_346204#78#92.java,Java
F,4_2640664#753#779.java,4_422665#8#22.java,Java
F,4_1398567#98#115.java,4_1721030#22#49.java,Java
F,4_2685107#122#164.java,4_1074458#108#143.java,Java
F,4_2597181#73#117.java,4_1721030#22#49.java,Java
F,4_748852#419#442.java,4_403380#69#94.java,Java
F,4_1868897#296#316.java,4_1956813#24#34.java,Java
F,4_683921#51#104.java,4_1375735#28#37.java,Java
F,4_2315565#267#294.java,4_329635#190#218.java,Java
F,4_2291127#31#67.java,4_1932007#194#216.java,Java
T,4_1359688#162#180.java,4_2152928#783#799.java,Java
F,4_2110005#99#135.java,4_2365821#838#864.java,Java
F,4_2177470#47#61.java,4_311323#493#526.java,Java
F,4_2224926#494#505.java,4_248474#85#91.java,Java
F,4_718755#184#229.java,4_224239#22#43.java,Java
F,4_464689#10#17.java,4_1283614#41#60.java,Java
F,4_526090#413#422.java,4_1612057#26#56.java,Java
F,4_753625#790#816.java,4_961557#42#62.java,Java
F,4_1271690#17#36.java,4_1669355#59#66.java,Java
F,4_1669355#59#66.java,4_1644577#601#632.java,Java
F,4_2504368#34#54.java,4_97354#188#210.java,Java
F,4_1627071#116#122.java,4_2318314#16#32.java,Java
F,4_337686#57#166.java,4_31579#176#200.java,Java
F,4_1742081#1699#1705.java,4_799641#151#169.java,Java
F,4_306823#163#212.java,4_2304794#53#64.java,Java
F,4_1712626#98#123.java,4_1207731#71#193.java,Java
F,4_725825#217#255.java,4_397082#72#85.java,Java
F,4_725825#267#291.java,4_169864#15#63.java,Java
F,4_1481659#57#80.java,4_29066#505#542.java,Java
F,4_1677622#105#124.java,4_1979886#73#80.java,Java
F,4_553596#806#866.java,4_1397132#28#51.java,Java
F,4_79331#56#67.java,4_226776#20#62.java,Java
F,4_1724220#875#899.java,4_256068#335#356.java,Java
F,4_2285649#121#155.java,4_661129#19#21.java,Java
T,4_1988725#204#213.java,4_638634#140#155.java,Java
T,4_863299#162#199.java,4_221494#39#50.java,Java
F,4_1377081#65#86.java,4_2565735#120#138.java,Java
F,4_653187#45#56.java,4_1703419#213#235.java,Java
F,4_2082675#19#29.java,4_114383#105#150.java,Java
F,4_2138232#45#66.java,4_743207#59#119.java,Java
F,4_2407741#109#170.java,4_1093996#86#100.java,Java
F,4_1145166#275#349.java,4_1758932#51#99.java,Java
F,4_2546259#140#158.java,4_1248759#41#61.java,Java
F,4_2032520#56#97.java,4_468766#131#170.java,Java
F,4_464658#72#78.java,4_1320790#31#40.java,Java
F,4_311323#467#483.java,4_1058297#39#64.java,Java
F,4_2001980#22#30.java,4_2034952#198#206.java,Java
F,4_595933#279#296.java,4_1412964#405#458.java,Java
F,4_760963#29#40.java,4_9377#74#82.java,Java
F,4_295232#35#46.java,4_1064317#58#91.java,Java
T,5_540286#18#47.java,5_1729199#104#147.java,Java
F,6_84080#133#188.java,6_1577658#201#265.java,Java
F,7_280291#402#421.java,7_246108#5#41.java,Java
F,8_762123#122#160.java,8_1725133#38#64.java,Java
F,9_2256105#394#426.java,9_14350#245#290.java,Java
F,10_2390876#275#340.java,10_690184#24#57.java,Java
F,10_1781609#49#83.java,10_2288111#297#349.java,Java
F,10_1834968#829#1154.java,10_999902#92#115.java,Java
F,10_2130004#43#73.java,10_515961#33#55.java,Java
F,10_2089659#86#111.java,10_1038530#167#195.java,Java
F,10_40003#36#140.java,10_1691250#125#142.java,Java
F,10_2537046#207#273.java,10_1949676#327#369.java,Java
F,10_1577665#224#253.java,10_2476251#71#102.java,Java
F,10_2394403#214#256.java,10_1877203#252#310.java,Java
F,10_591029#384#421.java,10_2475884#53#94.java,Java
F,10_2247969#240#278.java,10_2227145#14#44.java,Java
F,10_1984482#44#79.java,10_2736749#27#61.java,Java
F,11_2191998#35#86.java,11_2241098#31#58.java,Java
F,12_573207#71#76.java,12_2269578#7#18.java,Java
T,13_212699#9#17.java,13_2702525#70#78.java,Java
T,14_2051877#528#542.java,14_2538461#52#70.java,Java
F,14_220170#10#18.java,14_718060#353#370.java,Java
F,14_2264551#377#394.java,14_253419#185#212.java,Java
T,14_1907234#1054#1063.java,14_1461211#220#235.java,Java
F,15_906350#355#373.java,15_1446312#22#36.java,Java
F,17_400025#131#144.java,17_2151064#22#45.java,Java
F,18_1087540#44#92.java,18_441422#32#47.java,Java
F,19_1282827#1391#1422.java,19_954795#116#123.java,Java
T,20_76273#13#17.java,20_843174#20#28.java,Java
F,21_1964860#57#71.java,21_833807#118#146.java,Java
F,22_1141930#108#124.java,22_850375#22#56.java,Java
F,23_62556#83#90.java,23_709879#112#122.java,Java
F,23_2626182#45#57.java,23_1142331#267#444.java,Java
F,23_308291#88#100.java,23_1616206#236#247.java,Java
F,23_1196695#308#313.java,23_651095#112#118.java,Java
F,24_1169109#149#186.java,24_207384#93#120.java,Java
F,24_1904462#112#120.java,24_2710081#56#103.java,Java
F,24_802711#528#537.java,24_946866#139#292.java,Java
F,25_981218#73#154.java,25_1027612#655#718.java,Java
T,26_19532#65#74.java,26_814007#61#67.java,Java
F,27_107770#14#76.java,27_62959#6#18.java,Java
F,27_63334#311#344.java,27_13156#413#418.java,Java
F,27_28976#16#81.java,27_110306#11#28.java,Java
F,27_90813#693#728.java,27_17735#14#76.java,Java
F,28_113447#31#43.java,28_112321#490#501.java,Java
F,29_6792#8#39.java,29_1262363#637#646.java,Java
F,30_119572#222#233.java,30_2294591#80#109.java,Java
F,30_107025#85#116.java,30_173508#19#53.java,Java
F,30_116037#23#31.java,30_815008#105#114.java,Java
F,30_83727#283#473.java,30_843997#145#152.java,Java
F,30_11981#315#466.java,30_1119346#101#111.java,Java
F,30_110030#233#414.java,30_1403839#57#107.java,Java
F,30_71534#17#53.java,30_546562#104#122.java,Java
F,30_785129#238#241.java,30_2677430#113#179.java,Java
F,30_2613043#34#56.java,30_1488565#380#388.java,Java
F,30_2419989#178#193.java,30_72604#27#31.java,Java
F,30_1010912#73#87.java,30_157734#1771#1792.java,Java
F,30_1235891#148#165.java,30_1644293#467#488.java,Java
F,30_990383#69#84.java,30_1546300#172#189.java,Java
F,30_1935035#167#199.java,30_1697006#206#260.java,Java
F,30_1430943#542#562.java,30_724667#125#154.java,Java
F,30_453115#243#267.java,30_1876076#260#277.java,Java
F,30_1716001#87#95.java,30_308500#153#177.java,Java
F,30_2422584#127#153.java,30_1530957#233#261.java,Java
F,30_1407273#31#83.java,30_2667874#322#330.java,Java
F,30_1408524#92#121.java,30_1716203#442#447.java,Java
F,30_80468#133#174.java,30_2665309#555#572.java,Java
F,30_2658391#661#685.java,30_1901682#89#185.java,Java
F,30_2349223#111#169.java,30_1683509#109#132.java,Java
F,30_1286176#257#276.java,30_962542#65#103.java,Java
F,30_2086614#39#61.java,30_1233879#77#101.java,Java
F,30_2648211#231#276.java,30_1707856#152#164.java,Java
F,30_1683509#109#132.java,30_2332106#29#50.java,Java
F,30_1956548#110#117.java,30_1829162#85#106.java,Java
F,30_2492168#23#62.java,30_808653#137#163.java,Java
F,30_1065583#595#612.java,30_461715#412#434.java,Java
F,30_2174748#103#118.java,30_187199#34#59.java,Java
F,30_1724840#491#771.java,30_907471#115#139.java,Java
F,30_2011099#624#696.java,30_1459635#22#40.java,Java
F,30_128573#423#450.java,30_240905#233#255.java,Java
F,30_1172615#134#150.java,30_452569#154#170.java,Java
F,30_1830095#798#821.java,30_2307606#154#193.java,Java
F,30_1967105#53#94.java,30_328591#37#69.java,Java
F,30_1810839#51#68.java,30_1233879#103#125.java,Java
F,30_1257200#229#245.java,30_2468560#216#262.java,Java
F,30_1883004#31#58.java,30_1720331#47#67.java,Java
F,30_1233879#294#309.java,30_464694#450#468.java,Java
F,30_2555371#13#42.java,30_215734#58#75.java,Java
F,30_1269131#41#74.java,30_1449460#40#46.java,Java
F,30_2016637#141#157.java,30_330776#18#27.java,Java
F,31_69900#44#73.java,31_65062#252#280.java,Java
F,31_80254#343#349.java,31_32933#324#344.java,Java
F,31_76287#271#295.java,31_34305#89#114.java,Java
F,31_105865#72#124.java,31_80605#91#104.java,Java
F,31_77601#54#62.java,31_102268#525#556.java,Java
F,32_1611137#33#62.java,32_2229231#873#915.java,Java
F,33_1644774#278#308.java,33_6519#75#105.java,Java
F,33_2255804#66#72.java,33_784037#48#58.java,Java
F,34_74632#61#83.java,34_2146112#47#75.java,Java
F,34_13941#14#26.java,34_133555#48#157.java,Java
F,34_130255#13#30.java,34_1766700#56#76.java,Java
F,34_94689#48#157.java,34_90685#31#45.java,Java
F,34_2251050#135#169.java,34_1075911#31#75.java,Java
F,35_109748#632#667.java,35_68056#53#166.java,Java
F,35_41424#206#219.java,35_112669#9#38.java,Java
F,35_82635#27#32.java,35_582442#44#61.java,Java
F,35_113275#239#291.java,35_93383#56#105.java,Java
F,35_117109#53#166.java,35_644942#66#83.java,Java
F,35_1878847#189#201.java,35_1732563#452#486.java,Java
F,35_340619#54#76.java,35_4610#358#491.java,Java
F,35_2127667#70#116.java,35_2735097#13#20.java,Java
F,35_1071092#313#336.java,35_905806#66#83.java,Java
F,35_2555404#55#67.java,35_2395829#324#344.java,Java
F,35_1799166#239#268.java,35_1198967#488#491.java,Java
F,35_2055062#76#100.java,35_1595712#433#492.java,Java
F,35_4610#242#356.java,35_2468324#212#239.java,Java
F,35_1618834#82#99.java,35_1923346#80#90.java,Java
F,35_2424941#34#54.java,35_674717#671#684.java,Java
F,35_2098589#714#778.java,35_2337867#23#34.java,Java
F,35_19885#54#62.java,35_905806#66#83.java,Java
F,36_39160#11#65.java,36_59171#63#112.java,Java
F,37_85171#145#156.java,37_92231#50#98.java,Java
F,38_298673#22#42.java,38_2296872#1798#1817.java,Java
T,39_663926#18#30.java,39_2661115#163#180.java,Java
F,40_15989#37#140.java,40_105026#94#117.java,Java
F,41_669247#34#91.java,41_1284938#237#251.java,Java
F,41_892239#200#224.java,41_1037902#112#118.java,Java
F,41_862665#113#128.java,41_1847721#40#47.java,Java
F,41_551360#627#637.java,41_857233#88#102.java,Java
F,41_1446996#69#149.java,41_125669#148#152.java,Java
F,41_2727594#375#384.java,41_2543124#10#43.java,Java
F,42_1614157#216#235.java,42_1564011#85#99.java,Java
F,42_2706639#50#87.java,42_1274755#232#269.java,Java
F,42_1670244#27#54.java,42_546923#137#148.java,Java
F,42_310619#109#132.java,42_1619643#135#149.java,Java
F,42_720500#68#195.java,42_911810#28#151.java,Java
F,42_2055704#257#268.java,42_1571038#87#102.java,Java
F,43_1565465#1067#1103.java,43_1946653#63#79.java,Java
T,44_12148#6#11.java,44_253634#5#18.java,Java
F,45_350093#21#66.java,45_712642#294#347.java,Java
