Judge #1,,,,,Judge #2,,,,,Both,,,Agreed,,,,Final + LLM,,"Conflict with gpt-4o, 5 runs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pair,L,R,Label L,Label R,Pair,L,R,Label L,Label R,P,L,R,P,L,R,Final,,Notes,,1,2,3,4,5,,U4o,2,3,4,5,,,F4oM,2,3,4,5,,U4M,2,3,4,5,,A File,B File,A id,B id,
F,F,F,wrong,wrong,F,F,F,minor,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_1870997#26#170.java,2_47927#161#258.java,15453012,21822158,2
F,F,F,wrong,wrong,F,T,F,major,minor,F,#,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_7062#36#73.java,2_2418344#20#59.java,17261985,18326088,2
F,F,F,wrong,incomplete,F,F,T,minor,major,F,F,#,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_572967#98#136.java,2_1643478#31#40.java,20453777,21393871,2
F,F,F,wrong,wrong,F,F,F,minor,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,2_1404320#163#197.java,2_1078366#51#97.java,21970882,22503685,2
F,F,T,wrong,major,F,F,T,minor,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_84168#66#160.java,3_1920325#23#29.java,249176,23335922,3
F,F,F,wrong,minor,F,F,T,minor,major,F,F,#,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_89653#82#211.java,3_123010#32#57.java,631632,15741989,3
F,T,F,major,minor,T,T,T,major,major,#,T,#,F,,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_2558813#16#24.java,3_1121284#7#21.java,1023289,18398590,3
F,F,F,minor,wrong,T,T,T,major,major,#,#,#,F,F,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_1031460#66#80.java,3_2409201#35#49.java,1092728,5402254,3
F,F,T,minor,major,T,T,T,major,major,#,#,T,T,T,,T,T,UTF-8 padding,TF,0,0,0,0,0,!!,100,0,100,0,100,W,TF,0,0,0,0,0,TF,0,0,0,0,0,,3_1662037#227#250.java,3_1294574#32#43.java,1175822,5976298,3
F,F,T,wrong,major,T,T,T,major,major,#,#,T,F,F,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_1503636#212#218.java,3_2210331#88#103.java,1604134,11121668,3
T,T,T,major,major,T,T,T,major,major,T,T,T,,,,T,T,SHA,TF,0,0,0,0,0,TF,0,0,0,0,0,,TF,0,0,0,0,0,TF,0,0,0,0,0,,3_916843#13#32.java,3_2704286#68#84.java,1685861,1899629,3
F,T,F,major,wrong,T,T,T,major,major,#,T,#,F,,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_2646810#40#49.java,3_459795#243#256.java,1914865,22622804,3
F,F,F,test,wrong,F,F,F,test,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_411410#146#177.java,3_2300213#157#191.java,2126181,23034378,3
F,F,F,wrong,wrong,T,T,T,major,major,#,#,#,F,F,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_2001558#109#126.java,3_2449914#192#215.java,2275418,15948682,3
T,T,T,major,major,T,T,T,major,major,T,T,T,,,,T,T,SHA,TF,0,0,0,0,0,TF,0,0,0,0,0,,TF,0,0,0,0,0,TF,0,0,0,0,0,,3_400521#33#41.java,3_648694#13#29.java,2431931,18631594,3
F,F,F,minor,incomplete,F,F,T,minor,major,F,F,#,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_2083509#187#218.java,3_828599#20#28.java,2654261,10539421,3
T,T,T,major,major,T,T,T,major,major,T,T,T,,,,T,T,SHA,TF,0,0,0,0,0,TF,0,0,0,0,0,,,100,100,100,100,100,TF,0,0,0,0,0,,3_1825954#16#33.java,3_562392#98#111.java,2832003,22479286,3
F,F,T,wrong,major,T,T,T,major,major,#,#,T,F,F,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_2347243#240#256.java,3_893450#93#111.java,3160590,12876684,3
F,T,F,major,incomplete,T,T,T,major,major,#,T,#,T,,T,T,T,UTF-8,TF,0,0,0,0,0,TF,0,0,0,0,0,,TF,0,0,0,0,0,TF,0,0,0,0,0,,3_2626054#15#30.java,3_878659#45#52.java,3788557,16367499,3
F,T,F,major,wrong,F,T,F,major,minor,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_999978#13#29.java,3_450481#67#110.java,4298180,17334847,3
F,T,F,major,incomplete,T,T,T,major,major,#,T,#,T,,T,T,T,SHA,TF,0,0,0,0,0,TF,0,0,0,0,0,,TF,0,0,0,0,0,TF,0,0,0,0,0,,3_336710#58#72.java,3_2104219#48#60.java,4364579,6625074,3
F,T,F,major,wrong,F,T,F,major,minor,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_2310574#272#282.java,3_1886889#235#256.java,4569312,9778726,3
F,T,F,major,wrong,T,T,T,major,major,#,T,#,F,,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_600054#169#185.java,3_1782966#41#49.java,5933082,21044331,3
T,T,T,major,major,T,T,T,major,major,T,T,T,,,,T,T,SHA,TF,0,0,0,0,0,TF,0,0,0,0,0,,TF,0,0,0,0,0,TF,0,0,0,0,0,,3_1775595#13#29.java,3_2364224#387#394.java,6150596,22262998,3
F,F,T,wrong,major,T,T,T,major,major,#,#,T,F,F,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_164132#156#172.java,3_1422739#16#32.java,6182434,21513130,3
F,F,T,wrong,major,T,T,T,major,major,#,#,T,F,F,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_1404058#41#45.java,3_2681007#21#33.java,6778220,14945924,3
F,F,T,minor,major,T,T,T,major,major,#,#,T,F,F,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_2735223#218#235.java,3_2260020#348#355.java,7372311,8908943,3
F,F,F,wrong,minor,T,T,T,major,major,#,#,#,F,F,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_974503#142#147.java,3_2713526#41#75.java,7556871,8024375,3
F,T,F,major,wrong,F,T,F,major,minor,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_2620332#376#383.java,3_1394192#49#65.java,7680527,19392665,3
F,T,F,major,minor,T,T,T,major,major,#,T,#,F,,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_1900264#123#137.java,3_1518242#204#226.java,8854731,22431492,3
T,T,T,major,major,T,T,T,major,major,T,T,T,,,,T,,,,100,100,100,100,100,,100,100,100,100,100,,,100,100,100,100,100,,100,100,100,100,100,,3_2073774#16#37.java,3_294407#131#140.java,10933932,22281203,3
F,F,F,minor,wrong,T,T,T,major,major,#,#,#,F,F,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_541481#305#318.java,3_736221#112#121.java,11018792,16700020,3
F,F,T,minor,major,T,T,T,major,major,#,#,T,F,F,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_629366#340#360.java,3_107453#52#58.java,11592707,14616047,3
F,F,F,minor,wrong,T,T,T,major,major,#,#,#,F,F,F,F,,,,0,0,0,0,0,FT,100,100,100,100,100,W,,0,0,0,0,0,,0,0,0,0,0,,3_892708#143#179.java,3_745221#80#98.java,14091098,23291292,3
F,F,T,minor,major,T,T,T,major,major,#,#,T,F,F,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_2339976#15#27.java,3_1157126#17#23.java,14479581,17994731,3
F,F,T,minor,major,F,F,T,minor,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_1209005#63#84.java,3_782936#97#107.java,14511387,21163359,3
F,F,F,minor,minor,T,T,T,major,major,#,#,#,F,F,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_705884#38#72.java,3_829893#55#65.java,14887616,16087901,3
T,T,T,major,major,T,T,T,major,major,T,T,T,,,,T,,,,100,100,100,100,100,,100,100,100,100,100,,,100,100,100,100,100,,100,100,100,100,100,,3_1851422#27#34.java,3_756631#30#40.java,15894276,20267318,3
F,T,F,major,minor,F,T,F,major,minor,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_1702867#47#58.java,3_1411934#30#54.java,15982225,16556715,3
F,F,F,minor,minor,T,T,T,major,major,#,#,#,F,F,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_74895#134#143.java,3_1418610#464#476.java,16116225,21090887,3
F,T,F,major,minor,T,T,T,major,major,#,T,#,F,,F,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,3_1492548#1354#1371.java,3_1268519#112#185.java,18840586,18985881,3
F,F,F,minor,incomplete,F,F,F,minor,incomplete,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_6930#27#46.java,4_1117280#39#41.java,10851,11826346,4
F,F,F,minor,minor,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_51251#41#83.java,4_207366#52#77.java,35934,20735941,4
F,F,F,minor,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_41605#90#172.java,4_2553462#41#84.java,44823,9339937,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_34342#27#46.java,4_2599719#874#900.java,44949,8778962,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_6756#90#172.java,4_2061440#90#151.java,91017,13852596,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_27443#367#414.java,4_1761827#86#102.java,98368,19926877,4
F,F,F,wrong,test,F,F,F,wrong,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_111151#27#46.java,4_1760061#8#24.java,126187,22224116,4
F,F,F,wrong,wrong,F,F,F,wrong,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_50141#90#172.java,4_2639183#198#327.java,137600,12838274,4
F,F,F,wrong,minor,F,F,T,wrong,major,F,F,#,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_84530#90#172.java,4_406256#959#985.java,149935,20100809,4
F,F,F,wrong,minor,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_56686#90#172.java,4_2045423#55#68.java,204078,3958807,4
F,F,F,wrong,minor,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_64536#90#172.java,4_295232#48#52.java,210006,20644477,4
F,F,T,minor,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_126904#872#898.java,4_2028451#304#311.java,250596,10797051,4
F,T,F,major,minor,F,T,F,major,minor,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,FT,100,100,100,100,100,,4_78884#30#48.java,4_1493909#493#504.java,266990,12499532,4
F,F,F,wrong,wrong,F,F,F,wrong,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_48067#27#46.java,4_1591824#251#301.java,288978,12465375,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_48067#27#46.java,4_327063#157#168.java,288978,3584277,4
F,F,F,wrong,minor,F,F,F,wrong,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_103511#27#46.java,4_188666#112#141.java,303331,3806532,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_114479#90#172.java,4_889549#75#86.java,310182,10536444,4
T,T,T,major,major,T,T,T,major,major,T,T,T,,,,T,,,,100,100,100,100,100,TF,0,0,0,0,0,I,!!,100,0,100,0,100,TF,0,0,0,0,0,,4_34119#1081#1089.java,4_2187820#20#28.java,316912,16948799,4
F,F,F,wrong,test,F,F,F,wrong,test,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_82382#27#46.java,4_108342#100#117.java,330216,14843540,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_19968#367#414.java,4_1049350#40#56.java,373792,20886787,4
F,F,F,minor,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_77069#872#898.java,4_118790#27#46.java,411631,811157,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_117641#90#172.java,4_2407741#109#170.java,420619,18099086,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_117641#90#172.java,4_1627411#45#83.java,420619,5824705,4
F,F,T,wrong,major,F,F,F,wrong,minor,F,F,#,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_87946#90#172.java,4_396851#203#227.java,480017,8296360,4
F,T,F,major,wrong,F,T,F,major,wrong,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_52898#7#19.java,4_2090289#45#128.java,539195,1954410,4
F,F,F,wrong,wrong,F,F,F,wrong,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_102678#27#46.java,4_1054088#28#72.java,597134,10916692,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_22724#27#46.java,4_2518721#75#92.java,624490,2972950,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_22724#27#46.java,4_1590185#168#192.java,624490,21089172,4
F,F,F,minor,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_18373#564#591.java,4_344599#72#81.java,687106,8425181,4
F,F,F,minor,wrong,F,F,F,wrong,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_18373#564#591.java,4_518912#124#158.java,687106,8546232,4
F,F,F,test,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_37863#167#247.java,4_474742#156#287.java,694747,7149578,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_21679#90#172.java,4_1371986#196#204.java,704314,14157859,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_21679#90#172.java,4_215042#58#70.java,704314,23613195,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_132716#27#46.java,4_1791239#31#81.java,709584,8939074,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_127472#60#107.java,4_1230451#283#294.java,740874,21285620,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_118790#27#46.java,4_1959984#38#55.java,811157,2691849,4
F,F,F,wrong,wrong,F,F,F,wrong,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_118790#27#46.java,4_2301433#1006#1028.java,811157,3993124,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_134632#90#172.java,4_1495157#230#237.java,812803,9186576,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_89548#90#172.java,4_1774039#27#30.java,823074,9722633,4
F,F,F,minor,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_85394#836#862.java,4_1828730#84#113.java,831649,4042184,4
F,F,F,minor,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_85394#872#898.java,4_919349#629#659.java,831650,9118411,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_82481#27#46.java,4_1521653#213#273.java,850680,17597670,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_55710#367#414.java,4_882365#57#86.java,921317,6171405,4
F,T,F,major,wrong,F,T,F,major,wrong,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_100020#296#315.java,4_2248635#204#209.java,938889,3287812,4
F,F,F,wrong,minor,F,F,T,wrong,major,F,F,#,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_52379#90#172.java,4_1793093#151#170.java,941896,12800568,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_22134#90#172.java,4_2720699#28#44.java,942693,20517803,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_566527#182#187.java,4_2197076#224#238.java,983036,17830886,4
F,T,F,major,wrong,F,T,F,major,wrong,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_1720009#19#52.java,4_600920#186#224.java,1048665,13940142,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_2152346#38#71.java,4_1395350#24#50.java,1180878,13666876,4
F,F,T,wrong,major,F,F,T,wrong,major,F,F,T,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_2309025#43#71.java,4_1831582#207#224.java,1244216,10067028,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_2309025#43#71.java,4_1091654#63#69.java,1244216,18042543,4
F,F,T,minor,major,F,F,F,incomplete,wrong,F,F,#,,,,F,F,Signature,FT,100,100,100,100,100,FT,100,100,100,100,100,,,0,0,0,0,0,,0,0,0,0,0,,4_2484283#80#91.java,4_971518#20#29.java,1357662,11403723,4
F,F,F,wrong,minor,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_27526#62#81.java,4_1535796#130#149.java,1455792,6432491,4
F,F,F,minor,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_2617581#177#236.java,4_1008617#78#121.java,1741432,18661682,4
F,T,F,major,wrong,F,T,F,major,wrong,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_2350542#38#47.java,4_100932#82#103.java,1863214,2642914,4
F,F,F,minor,minor,F,F,F,incomplete,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_142902#78#104.java,4_2676871#89#120.java,1890824,16719805,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_1745969#160#165.java,4_2601583#48#56.java,1949890,7174662,4
F,T,F,major,wrong,F,T,F,major,wrong,F,T,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_280336#12#20.java,4_184404#42#44.java,2066343,19962035,4
F,F,F,wrong,wrong,F,F,F,wrong,wrong,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_1878799#359#370.java,4_684569#63#106.java,2168322,11779245,4
F,F,F,minor,minor,F,F,F,minor,minor,F,F,F,,,,F,,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4_321084#307#334.java,4_1114967#69#84.java,2198030,4591684,4
