No,Source,Title,Authors,Venue,Year,DOI,ValidityThreatened
155,Scopus,DeepClone: Modeling Clones to Generate Code Predictions,"Hammad, Muhammad (56490230800); Babur, Önder (55949449000); Abdul Basit, Hamid (12241632000); Brand, Mark van den (57192113699)",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020,10.1007/978-3-030-64694-3_9,1
156,Scopus,Code Clone Detection with Hierarchical Attentive Graph Embedding,"Ji, Xiujuan (55582424700); Liu, Lei (57853957200); Zhu, Jingwen (57194067799)",International Journal of Software Engineering and Knowledge Engineering,2021,10.1142/S021819402150025X,1
157,Scopus,Two-pass technique for clone detection and type classification using tree-based convolution neural network†,"Jo, Young-Bin (57226388801); Lee, Jihyun (57215648896); Yoo, Cheol-Jung (7201746348)",Applied Sciences (Switzerland),2021,10.3390/app11146613,1
158,Scopus,CCLearner: Clone Detection via Deep Learning,"Li, Liuqing (57200287478); Feng, He (57193067100); Meng, Na (42161811400); Ryder, Barbara (7003693065)","Code Clone Analysis: Research, Tools, and Practices",2021,10.1007/978-981-16-1927-4_6,1
159,Scopus,Clone-advisor: recommending code tokens and clone methods with deep learning and information retrieval,"Hammad, Muhammad (56490230800); Babur, Önder (55949449000); Basit, Hamid Abdul (12241632000); van den Brand, Mark (57192113699)",PeerJ Computer Science,2021,10.7717/peerj-cs.737,1
160,Scopus,Oreo: Scaling Clone Detection Beyond Near-Miss Clones,"Saini, Vaibhav (56553828400); Farmahinifarahani, Farima (57205023722); Sajnani, Hitesh (53878296500); Lopes, Cristina (7103222266)","Code Clone Analysis: Research, Tools, and Practices",2021,10.1007/978-981-16-1927-4_5,1
161,Scopus,Clone detection through srcClone: A program slicing based approach,"Alomari, Hakam W. (55556138700); Stephan, Matthew (35276168000)",Journal of Systems and Software,2022,10.1016/j.jss.2021.111115,1
162,Scopus,Transformer-based networks over tree structures for code classification,"Hua, Wei (57204636485); Liu, Guangzhong (23110719100)",Applied Intelligence,2022,10.1007/s10489-021-02894-2,1
163,Scopus,Are our clone detectors good enough? An empirical study of code effects by obfuscation,"Huang, Weihao (57212550474); Meng, Guozhu (56747189200); Lin, Chaoyang (57216910203); Yan, Qiucun (57941841400); Chen, Kai (57051675000); Ma, Zhuo (55276257200)",Cybersecurity,2023,10.1186/s42400-023-00148-x,1
164,Scopus,CCStokener: Fast yet accurate code clone detection with semantic token,"Wang, Wenjie (57223673614); Deng, Zihan (57781408100); Xue, Yinxing (35101120400); Xu, Yun (57196049318)",Journal of Systems and Software,2023,10.1016/j.jss.2023.111618,1
165,Scopus,Graph-based code semantics learning for efficient semantic code clone detection,"Yu, Dongjin (35176839900); Yang, Quanxin (57218480612); Chen, Xin (57102336800); Chen, Jie (57203334789); Xu, Yihang (57223924930)",Information and Software Technology,2023,10.1016/j.infsof.2022.107130,1
166,Scopus,Efficient transformer with code token learner for code clone detection,"Zhang, Aiping (57221302932); Fang, Liming (54913001000); Ge, Chunpeng (36571549800); Li, Piji (36440053900); Liu, Zhe (56844033500)",Journal of Systems and Software,2023,10.1016/j.jss.2022.111557,1
167,Scopus,Semantic Clone Detection Based on Code Feature Fusion Learning,"Zhang, Qianjin (57830566400); Jin, Dahai (36007196300); Wang, Yawen (25651116000); Gong, Yunzhan (15843139800)",International Journal of Software Engineering and Knowledge Engineering,2023,10.1142/S0218194023500249,1
168,Scopus,MTCD: An Efficient Cloning Detection Technique Based on Method Table,"Liao, Fangting (58080982500); Long, Shun (7402507047); Zhu, Weiheng (35933097600); Chen, Wenzhu (58490409800); Cao, Silei (59281061400); Guan, Xinyi (58080982300)",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2023,10.1007/978-3-031-35257-7_19,1
169,Scopus,A Novel Source Code Clone Detection Method Based on Dual-GCN and IVHFS,"Yang, Haixin (58172025800); Li, Zhen (57188851187); Guo, Xinyu (58340306400)",Electronics (Switzerland),2023,10.3390/electronics12061315,1
170,Scopus,SJBCD: A Java Code Clone Detection Method Based on Bytecode Using Siamese Neural Network,"Wan, Bangrui (58499229700); Dong, Shuang (58569320700); Zhou, Jianjun (57724336300); Qian, Ying (36703119600)",Applied Sciences (Switzerland),2023,10.3390/app13179580,1
171,Scopus,A novel code representation for detecting Java code clones using high-level and abstract compiled code representations,"Quradaa, Fahmi H. (57222405438); Shahzad, Sara (24470583800); Saeed, Rashad (57203227971); Sufyan, Mubarak M. (57317234200)",PLoS ONE,2024,10.1371/journal.pone.0302333,1
172,Scopus,Redundancy and Concept Analysis for Code-trained Language Models,"Sharma, Arushi (57752284000); Hu, Zefu (58298106400); Quinn, Christopher J. (36136066900); Jannesari, Ali (25825073200)","Proceedings - 2024 39th ACM/IEEE International Conference on Automated Software Engineering Workshops, ASEW 2024",2024,10.1145/3691621.3694931,1
173,Scopus,Semantic Code Clone Detection Based on Community Detection,"Wan, Zexuan (59237902200); Xie, Chunli (42762462600); Lv, Quanrun (59237744900); Fan, Yasheng (59237745000)",International Journal of Software Engineering and Knowledge Engineering,2024,10.1142/S0218194024500323,1
174,Scopus,"Nearest-neighbor, BERT-based, scalable clone detection: A practical approach for large-scale industrial code bases","Ahmed, Gul Aftab (58625680600); Patten, James Vincent (57197594735); Han, Yuanhua (58902743900); Lu, Guoxian (58064645000); Hou, Wei (58064530400); Gregg, David (7005324205); Buckley, Jim (9239573700); Chochlov, Muslim (57188822109)",Software - Practice and Experience,2024,10.1002/spe.3355,1
175,Scopus,An enhanced transformer-based framework for interpretable code clone detection,"Nashaat, Mona (57202112008); Amin, Reem (59525485900); Eid, Ahmad Hosny (57200595569); Abdel-Kader, Rabab F. (35328967100)",Journal of Systems and Software,2025,10.1016/j.jss.2025.112347,1
176,Scopus,An optimized hybrid deep learning model for code clone detection,"Geetika (57222539961); Kaur, Navdeep (35100474900); Kaur, Amandeep (58070249200)",International Journal of Information Technology (Singapore),2025,10.1007/s41870-024-02383-y,1
177,Scopus,Exploring the Boundaries Between LLM Code Clone Detection and Code Similarity Assessment on Human and AI-Generated Code,Zhang Z.; Saber T.,Big Data and Cognitive Computing,2025,10.3390/bdcc9020041,1
178,WebOfScience,DroidSD: An Efficient Indexed Based Android Applications Similarity Detection Tool,"Akram, Junaid; Shi, Zhendong; Mumtaz, Majid; Luo, Ping",JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,2020,10.6688/JISE.202001_36(1).0002,1
179,Wiley,GRRLN: Gated Recurrent Residual Learning Networks for code clone detection,"Zhang X,Liu J,Shi M",Journal of Software: Evolution and Process,2024,10.1002/smr.2649,1
1,ACM,Intelligent token-based code clone detection system for large scale source code,"Elkhail, Abdulrahman Abu and Svacina, Jan and Cerny, Tomas",Proceedings of the Conference on Research in Adaptive and Convergent Systems,2019,10.1145/3338840.3355654,0
2,ACM,NIL: large-scale detection of large-variance clones,"Nakagawa, Tasuku and Higo, Yoshiki and Kusumoto, Shinji",Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,2021,10.1145/3468264.3468564,0
3,ACM,ASPDup: AST-Sequence-based Progressive Duplicate Code Detection Tool for Onsite Programming Code,"Yu, Yaoshen and Huang, Zhiqiu and Zhou, Yu and Li, Weiwei and Shao, Yichao",Proceedings of the 12th Asia-Pacific Symposium on Internetware,2021,10.1145/3457913.3457938,0
4,ACM,Fine-Grained Code Clone Detection with Block-Based Splitting of Abstract Syntax Tree,"Hu, Tiancheng and Xu, Zijing and Fang, Yilin and Wu, Yueming and Yuan, Bin and Zou, Deqing and Jin, Hai",Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,2023,10.1145/3597926.3598040,0
5,IEEE,Evaluating clone detection tools with BigCloneBench,J. Svajlenko; C. K. Roy,2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),2015,10.1109/ICSM.2015.7332459,0
6,IEEE,SourcererCC: Scaling Code Clone Detection to Big-Code,H. Sajnani; V. Saini; J. Svajlenko; C. K. Roy; C. V. Lopes,2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),2016,10.1145/2884781.2884877,0
7,IEEE,Fast and Flexible Large-Scale Clone Detection with CloneWorks,J. Svajlenko; C. K. Roy,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),2017,10.1109/ICSE-C.2017.3,0
8,IEEE,CloneWorks: A Fast and Flexible Large-Scale Near-Miss Clone Detection Tool,J. Svajlenko; C. K. Roy,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),2017,10.1109/ICSE-C.2017.78,0
9,IEEE,Interface Driven Code Clone Detection,M. R. H. Misu; K. Sakib,2017 24th Asia-Pacific Software Engineering Conference (APSEC),2017,10.1109/APSEC.2017.97,0
10,IEEE,On the Use of Machine Learning Techniques Towards the Design of Cloud Based Automatic Code Clone Validation Tools,G. Mostaeen; J. Svajlenko; B. Roy; C. K. Roy; K. A. Schneider,2018 IEEE 18th International Working Conference on Source Code Analysis and Manipulation (SCAM),2018,10.1109/SCAM.2018.00025,0
11,IEEE,Lancer: Your Code Tell Me What You Need,S. Zhou; B. Shen; H. Zhong,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,10.1109/ASE.2019.00137,0
12,IEEE,Assessing the Generalizability of Code2vec Token Embeddings,H. J. Kang; T. F. Bissyand√©; D. Lo,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),2019,10.1109/ASE.2019.00011,0
13,IEEE,A Large-Gap Clone Detection Approach Using Sequence Alignment via Dynamic Parameter Optimization,J. Liu; T. Wang; C. Feng; H. Wang; D. Li,IEEE Access,2019,10.1109/ACCESS.2019.2940710,0
14,IEEE,NiCad+: Speeding the Detecting Process of NiCad,C. Feng; T. Wang; J. Liu; Y. Zhang; K. Xu; Y. Wang,2020 IEEE International Conference on Service Oriented Systems Engineering (SOSE),2020,10.1109/SOSE49046.2020.00019,0
15,IEEE,LVMapper: A Large-Variance Clone Detector Using Sequencing Alignment Approach,M. Wu; P. Wang; K. Yin; H. Cheng; Y. Xu; C. K. Roy,IEEE Access,2020,10.1109/ACCESS.2020.2971545,0
16,IEEE,SAGA: Efficient and Large-Scale Detection of Near-Miss Clones with GPU Acceleration,G. Li; Y. Wu; C. K. Roy; J. Sun; X. Peng; N. Zhan; B. Hu; J. Ma,"2020 IEEE 27th International Conference on Software Analysis, Evolution and Reengineering (SANER)",2020,10.1109/SANER48275.2020.9054832,0
17,IEEE,Multi-threshold token-based code clone detection,Y. Golubev; V. Poletansky; N. Povarov; T. Bryksin,"2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",2021,10.1109/SANER50967.2021.00053,0
18,IEEE,The Mutation and Injection Framework: Evaluating Clone Detection Tools with Mutation Analysis,J. Svajlenko; C. K. Roy,IEEE Transactions on Software Engineering,2021,10.1109/TSE.2019.2912962,0
19,IEEE,Finding repeated strings in code repositories and its applications to code-clone detection,Y. Yamagata; F. Herv√©; Y. Fujiwara; K. Inoue,2021 28th Asia-Pacific Software Engineering Conference (APSEC),2021,10.1109/APSEC53868.2021.00057,0
20,IEEE,Stubber: Compiling Source Code into Bytecode without Dependencies for Java Code Clone Detection,A. Sch√§fer; W. Amme; T. S. Heinze,2021 IEEE 15th International Workshop on Software Clones (IWSC),2021,10.1109/IWSC53727.2021.00011,0
21,IEEE,You Look so Different: Finding Structural Clones and Subclones in Java Source Code,W. Amme; T. S. Heinze; A. Sch√§fer,2021 IEEE International Conference on Software Maintenance and Evolution (ICSME),2021,10.1109/ICSME52107.2021.00013,0
22,IEEE,MSCCD: Grammar Pluggable Clone Detection Based on ANTLR Parser Generation,W. Zhu; N. Yoshida; T. Kamiya; E. Choi; H. Takada,2022 IEEE/ACM 30th International Conference on Program Comprehension (ICPC),2022,10.1145/3524610.3529161,0
23,IEEE,Comparison and Evaluation of Clone Detection Techniques with Different Code Representations,Y. Wang; Y. Ye; Y. Wu; W. Zhang; Y. Xue; Y. Liu,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),2023,10.1109/ICSE48619.2023.00039,0
24,IEEE,Code2Img: Tree-Based Image Transformation for Scalable Code Clone Detection,Y. Hu; Y. Fang; Y. Sun; Y. Jia; Y. Wu; D. Zou; H. Jin,IEEE Transactions on Software Engineering,2023,10.1109/TSE.2023.3295801,0
25,IEEE,Finding Source Code Clones in Intermediate Representations of Java Bytecode,A. Sch√§fer; T. S. Heinze; W. Amme,2023 IEEE 17th International Workshop on Software Clones (IWSC),2023,10.1109/IWSC60764.2023.00014,0
26,IEEE,CCDive: A Deep Dive into Code Clone Detection Using Local Sequence Alignment,Y. Glani; L. Ping; S. A. Shah; L. Ke,Tsinghua Science and Technology,2025,10.26599/TST.2024.9010075,0
27,Scopus,Scalable code clone detection and search based on adaptive prefix filtering,"Nishi, Manziba Akanda (57194030414); Damevski, Kostadin (6507659927)",Journal of Systems and Software,2018,10.1016/j.jss.2017.11.039,0
28,Scopus,Enhancing code clone detection using control flow graphs,"Kim, Dong Kwan (56019448100)",International Journal of Electrical and Computer Engineering,2019,10.11591/ijece.v9i5.pp3804-3812,0
29,Scopus,IBFET: Index-based features extraction technique for scalable code clone detection at file level granularity,"Akram, Junaid (57204390449); Mumtaz, Majid (57204395073); Luo, Ping (55705278900)",Software - Practice and Experience,2020,10.1002/spe.2759,0
30,Scopus,Code Inspection Support for Recurring Changes with Deep Learning in Evolving Software,"Ayinala, Krishna Teja (57219384573); Cheng, Kwok Sun (57209005830); Oh, Kwangsung (56403899200); Song, Teukseob (8907774400); Song, Myoungkyu (32868182400)","Proceedings - 2020 IEEE 44th Annual Computers, Software, and Applications Conference, COMPSAC 2020",2020,10.1109/COMPSAC48688.2020.0-149,0
31,Scopus,Tool Support for Code Change Inspection with Deep Learning in Evolving Software,"Ayinala, Krishna Teja (57219384573); Cheng, Kwok Sun (57209005830); Oh, Kwangsung (56403899200); Song, Myoungkyu (32868182400)",IEEE International Conference on Electro Information Technology,2020,10.1109/EIT48999.2020.9208280,0
32,Scopus,Finding Code-Clone Snippets in Large Source-Code Collection by ccgrep,"Inoue, Katsuro (7601540520); Miyamoto, Yuya (57219688351); German, Daniel M. (57207886015); Ishio, Takashi (8381338700)",IFIP Advances in Information and Communication Technology,2021,10.1007/978-3-030-75251-4_3,0
33,Scopus,Indexing source code and clone detection,"Tronicek, Zdenek (55936595100)",Information and Software Technology,2022,10.1016/j.infsof.2021.106805,0
34,Scopus,Precise Code Clone Detection with Architecture of Abstract Syntax Trees,"Guo, Xin (57205361807); Zhang, Ruyun (57219314221); Zhou, Lu (57296300800); Lu, Xiaozhen (57200177387)",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2022,10.1007/978-3-031-19211-1_10,0
35,Scopus,FastDCF: A Partial Index Based Distributed and Scalable Near-Miss Code Clone Detection Approach for Very Large Code Repositories,"Yang, Liming (57563453600); Ren, Yi (55231122300); Guan, Jianbo (9250652100); Li, Bao (57199787773); Ma, Jun (59047906500); Han, Peng (57564218500); Tan, Yusong (7402139872)",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2022,10.1007/978-3-030-96772-7_20,0
36,Scopus,CodeGuard: enhancing accuracy in detecting clones within java source code,"Glani, Yasir (57194453115); Ping, Luo (55705278900)",Frontiers in Computer Science,2024,10.3389/fcomp.2024.1455860,0
37,Scopus,Toward a Theory of Causation for Interpreting Neural Code Models,"Nader Palacio, David (57215358958); Velasco, Alejandro (58548501800); Cooper, Nathan (57194646990); Rodriguez, Alvaro (58109782400); Moran, Kevin (57095532500); Poshyvanyk, Denys (13613571900)",IEEE Transactions on Software Engineering,2024,10.1109/TSE.2024.3379943,0
38,Scopus,Accurate code fragment clone detection and its application in identifying known CVE clones,"Arutunian, Mariam (57188582313); Sargsyan, Sevak (57073493300); Hovhannisyan, Hripsime (57223051764); Khroyan, Garnik (59505619400); Mkrtchyan, Albert (59505398200); Movsisyan, Hovhannes (57209224199); Avetisyan, Arutyun (56274803200); Aslanyan, Hayk (57222249404)",International Journal of Information Security,2025,10.1007/s10207-024-00968-z,0
39,Scopus,SNCD: A fast and scalable distributed near-miss code clone detector for big code based on partial index,"Yang, Liming (57563453600); Zhao, Jun (57191637376); Xie, Rulin (59547178200); Ren, Yi (55231122300); Guan, Jianbo (9250652100); Li, Bao (57199787773); Ma, Jun (56873512900); Tan, Yusong (7402139872)",Future Generation Computer Systems,2025,10.1016/j.future.2025.107743,0
40,Scopus,Development and benchmarking of multilingual code clone detector,"Zhu, Wenqing (57318319600); Yoshida, Norihiro (36176694200); Kamiya, Toshihiro (56218821800); Choi, Eunjong (41561025900); Takada, Hiroaki (7201702334)",Journal of Systems and Software,2025,10.1016/j.jss.2024.112215,0
