dataset,source_dataset,model,pairs,positive_pairs,negative_pairs,auc,mcc_threshold_lower,mcc_threshold_upper,mcc_optimal,f1_threshold_lower,f1_threshold_upper,f1_optimal,fixed_threshold,mcc_fixed,f1_fixed,source_scores
TBCCD,TBCCD-alldata-balanced,Linq-Embed-Mistral,672996,336498,336498,0.7832090367384787,0.54,0.54,0.40651905769020374,0.48,0.48,0.7273670100627426,0.5,0.4008737446866408,0.7203686032729902,TBCCD-alldata-balanced/emb-sentra.1-Linq-Embed-Mistral@cache_MI300X.csv
TBCCD,TBCCD-alldata-balanced,Octen-Embedding-8B,672996,336498,336498,0.7950916899534745,0.25,0.25,0.44510013054776265,0.21,0.21,0.7422252177015778,0.5,0.2645417864758267,0.2609816869347661,TBCCD-alldata-balanced/emb-sentra.1-Octen-Embedding-8B@cache_MI300X.csv
TBCCD,TBCCD-alldata-balanced,Qodo-Embed-1-7B,672996,336498,336498,0.8104426951387602,0.49,0.49,0.46104204194742193,0.46,0.46,0.7487139471706837,0.5,0.4592020278473536,0.7192322556109668,TBCCD-alldata-balanced/emb-sentra.1-Qodo-Embed-1-7B@cache_MI300X.csv
TBCCD,TBCCD-alldata-balanced,Qwen3-Embedding-8B,672996,336498,336498,0.7744611102539829,0.35,0.35,0.40471046088857915,0.3,0.3,0.7232333071124138,0.5,0.29002886816206136,0.3317013672069568,TBCCD-alldata-balanced/emb-sentra.1-Qwen3-Embedding-8B@cache_MI300X.csv
TBCCD,TBCCD-alldata-balanced,SFR-Embedding-2_R,672996,336498,336498,0.7777663462299031,0.65,0.65,0.39942025673195963,0.6,0.6,0.7223742680837592,0.5,0.09379148522232308,0.6707230827698406,TBCCD-alldata-balanced/emb-sentra.1-SFR-Embedding-2_R@cache_MI300X.csv
CF-500,CF500-full-balanced,C2LLM-7B,1550154,775077,775077,0.9983604902147156,0.57,0.57,0.9675693285159653,0.57,0.57,0.9837660995758443,0.5,0.958499438573266,0.9793558863328823,CF500-full-balanced/emb-sentra.1-C2LLM-7B@cache_MI300X.csv
CF-500,CF500-full-balanced,jina-code-embeddings-1.5b,1550154,775077,775077,0.9993895455498156,0.39,0.39,0.9854149324653771,0.39,0.39,0.992703217490591,0.5,0.9721707529283526,0.9857588342650208,CF500-full-balanced/emb-sentra.1-jina-code-embeddings-1.5b@cache_MI300X.csv
CF-500,CF500-full-balanced,Linq-Embed-Mistral,1550154,775077,775077,0.9856839136837161,0.73,0.73,0.8886022410795597,0.73,0.73,0.9432805334328446,0.5,0.14989254359741705,0.6765907519537389,CF500-full-balanced/emb-sentra.1-Linq-Embed-Mistral@cache_MI300X.csv
CF-500,CF500-full-balanced,Octen-Embedding-8B,1550154,775077,775077,0.9989717584153667,0.44,0.44,0.9784530643389745,0.44,0.44,0.9892202582464927,0.5,0.9747356878559501,0.9871896299110756,CF500-full-balanced/emb-sentra.1-Octen-Embedding-8B@cache_MI300X.csv
CF-500,CF500-full-balanced,Qodo-Embed-1-7B,1550154,775077,775077,0.9898311409350602,0.74,0.74,0.9037306195968219,0.74,0.74,0.9517385441693371,0.5,0.05698211362076468,0.6681082003642768,CF500-full-balanced/emb-sentra.1-Qodo-Embed-1-7B@cache_MI300X.csv
CF-500,CF500-full-balanced,Qwen3-Embedding-8B,1550154,775077,775077,0.9992839046571902,0.66,0.66,0.9835179087370621,0.66,0.66,0.991740536516135,0.5,0.9189506343997363,0.9595939247392141,CF500-full-balanced/emb-sentra.1-Qwen3-Embedding-8B@cache_MI300X.csv
CF-500,CF500-full-balanced,SFR-Embedding-2_R,1550154,775077,775077,0.9840512832264837,0.81,0.81,0.8834938679762937,0.8,0.8,0.9405915636064671,0.5,0.0037672721894138526,0.6666729743433816,CF500-full-balanced/emb-sentra.1-SFR-Embedding-2_R@cache_MI300X.csv
CLCCD (CodeNet),clccd-cn,C2LLM-7B,6000,3000,3000,0.9997625555555556,0.4,0.4,0.9843858900052471,0.39,0.39,0.9921312573246275,0.5,0.9779105771169981,0.9887072307433001,clccd-cn/emb-sentra.1-C2LLM-7B@cache_MI300X.csv
CLCCD (CodeNet),clccd-cn,jina-code-embeddings-1.5b,6000,3000,3000,0.9996262222222222,0.26,0.26,0.9906701890558232,0.26,0.26,0.9953395472703063,0.5,0.9276125895432153,0.961038961038961,clccd-cn/emb-sentra.1-jina-code-embeddings-1.5b@cache_MI300X.csv
CLCCD (CodeNet),clccd-cn,Linq-Embed-Mistral,6000,3000,3000,0.9965434444444443,0.64,0.64,0.957436316466762,0.64,0.64,0.9785090664875755,0.5,0.4989059758070511,0.7688757851557493,clccd-cn/emb-sentra.1-Linq-Embed-Mistral@cache_MI300X.csv
CLCCD (CodeNet),clccd-cn,Octen-Embedding-8B,6000,3000,3000,0.9999893333333333,0.31,0.31,0.9966702103892702,0.31,0.31,0.998335552596538,0.5,0.9759556465411836,0.9876834823688206,clccd-cn/emb-sentra.1-Octen-Embedding-8B@cache_MI300X.csv
CLCCD (CodeNet),clccd-cn,Qodo-Embed-1-7B,6000,3000,3000,0.9973645555555556,0.64,0.64,0.9660309134838551,0.64,0.64,0.9829317269076305,0.5,0.3792614353829357,0.7277359864110653,clccd-cn/emb-sentra.1-Qodo-Embed-1-7B@cache_MI300X.csv
CLCCD (CodeNet),clccd-cn,Qwen3-Embedding-8B,6000,3000,3000,0.9998617777777777,0.43,0.43,0.9923347115769453,0.43,0.43,0.9961698584512906,0.5,0.9753048303966929,0.9873417721518988,clccd-cn/emb-sentra.1-Qwen3-Embedding-8B@cache_MI300X.csv
CLCCD (CodeNet),clccd-cn,SFR-Embedding-2_R,6000,3000,3000,0.9971975555555556,0.74,0.74,0.9594461281861784,0.74,0.74,0.9795095733960363,0.5,0.03163859985841663,0.66711140760507,clccd-cn/emb-sentra.1-SFR-Embedding-2_R@cache_MI300X.csv
CLCCD (XLCoST),clccd-xl,C2LLM-7B,6000,3000,3000,0.9999923333333333,0.64,0.68,0.9990004995003746,0.64,0.68,0.9994997498749375,0.5,0.9960035413522206,0.9980026631158455,clccd-xl/emb-sentra.1-C2LLM-7B@cache_MI300X.csv
CLCCD (XLCoST),clccd-xl,jina-code-embeddings-1.5b,6000,3000,3000,0.9999975555555556,0.36,0.36,0.998001996005988,0.36,0.36,0.999000999000999,0.5,0.9963400309749421,0.9981632993822007,clccd-xl/emb-sentra.1-jina-code-embeddings-1.5b@cache_MI300X.csv
CLCCD (XLCoST),clccd-xl,Linq-Embed-Mistral,6000,3000,3000,0.9999736666666666,0.7,0.7,0.9996667222037082,0.7,0.7,0.9998333055509252,0.5,0.805484088392146,0.903750564844103,clccd-xl/emb-sentra.1-Linq-Embed-Mistral@cache_MI300X.csv
CLCCD (XLCoST),clccd-xl,Octen-Embedding-8B,6000,3000,3000,0.9999918888888889,0.46,0.5,0.9996667222037082,0.46,0.5,0.9998333055509252,0.5,0.9996667222037082,0.9998333055509252,clccd-xl/emb-sentra.1-Octen-Embedding-8B@cache_MI300X.csv
CLCCD (XLCoST),clccd-xl,Qodo-Embed-1-7B,6000,3000,3000,0.9985972222222222,0.69,0.69,0.9956733598267488,0.68,0.68,0.9978300784510098,0.5,0.439583092303084,0.7475982532751092,clccd-xl/emb-sentra.1-Qodo-Embed-1-7B@cache_MI300X.csv
CLCCD (XLCoST),clccd-xl,Qwen3-Embedding-8B,6000,3000,3000,0.9999932222222222,0.6,0.6,0.9986668885926665,0.6,0.6,0.9993335554815062,0.5,0.9900431228173778,0.9950232249502322,clccd-xl/emb-sentra.1-Qwen3-Embedding-8B@cache_MI300X.csv
CLCCD (XLCoST),clccd-xl,SFR-Embedding-2_R,6000,3000,3000,0.9999483333333333,0.78,0.8,0.9993335554074814,0.77,0.77,0.9996666666666667,0.5,0.07983545641278297,0.6694934166480696,clccd-xl/emb-sentra.1-SFR-Embedding-2_R@cache_MI300X.csv
GCJ2-4 (Full),GCJ2-4_Full-full-balanced,C2LLM-7B,70355828,35177914,35177914,0.9902798073510652,0.58,0.58,0.9534807174382115,0.58,0.58,0.9763426937963756,0.5,0.9349373001647356,0.96767364848975,GCJ2-4_Full-full-balanced/emb-sentra.1-C2LLM-7B@cache_MI300X.csv
GCJ2-4 (Full),GCJ2-4_Full-full-balanced,jina-code-embeddings-1.5b,70355828,35177914,35177914,0.9858837808053145,0.53,0.53,0.9402547482877097,0.52,0.52,0.9695186161290792,0.5,0.9373612287349474,0.9684527809936859,GCJ2-4_Full-full-balanced/emb-sentra.1-jina-code-embeddings-1.5b@cache_MI300X.csv
GCJ2-4 (Full),GCJ2-4_Full-full-balanced,Linq-Embed-Mistral,70355828,35177914,35177914,0.9365860939956587,0.7,0.7,0.7425820712210657,0.69,0.69,0.8682139663068639,0.5,0.053032089509048023,0.6678931035934792,GCJ2-4_Full-full-balanced/emb-sentra.1-Linq-Embed-Mistral@cache_MI300X.csv
GCJ2-4 (Full),GCJ2-4_Full-full-balanced,Octen-Embedding-8B,70355828,35177914,35177914,0.9911118531059425,0.47,0.47,0.9673281412037705,0.46,0.46,0.9834595224311731,0.5,0.9649853533370469,0.9821108585711645,GCJ2-4_Full-full-balanced/emb-sentra.1-Octen-Embedding-8B@cache_MI300X.csv
GCJ2-4 (Full),GCJ2-4_Full-full-balanced,Qodo-Embed-1-7B,70355828,35177914,35177914,0.9659263603172679,0.69,0.69,0.8301369047049593,0.68,0.68,0.9144832252239431,0.5,0.04953556835103735,0.6678905919046032,GCJ2-4_Full-full-balanced/emb-sentra.1-Qodo-Embed-1-7B@cache_MI300X.csv
GCJ2-4 (Full),GCJ2-4_Full-full-balanced,Qwen3-Embedding-8B,70355828,35177914,35177914,0.9713214166937062,0.55,0.55,0.8551762854920661,0.54,0.54,0.9284245258466315,0.5,0.8303117694078871,0.9171367009574132,GCJ2-4_Full-full-balanced/emb-sentra.1-Qwen3-Embedding-8B@cache_MI300X.csv
GCJ2-4 (Full),GCJ2-4_Full-full-balanced,SFR-Embedding-2_R,70355828,35177914,35177914,0.9357334129577569,0.8,0.8,0.7414146011561199,0.79,0.79,0.8671231059514375,0.5,0.0011843445885139899,0.666648926862683,GCJ2-4_Full-full-balanced/emb-sentra.1-SFR-Embedding-2_R@cache_MI300X.csv
OCD,OCD-full-balanced,C2LLM-7B,900,450,450,0.9999999999999999,0.82,0.86,1.0,0.82,0.86,1.0,0.5,0.8844083999045815,0.9424083769633508,OCD-full-balanced/emb-sentra.1-C2LLM-7B@cache_MI300X.csv
OCD,OCD-full-balanced,jina-code-embeddings-1.5b,900,450,450,1.0,0.53,0.79,1.0,0.53,0.79,1.0,0.5,0.9955653883486891,0.9977827050997783,OCD-full-balanced/emb-sentra.1-jina-code-embeddings-1.5b@cache_MI300X.csv
OCD,OCD-full-balanced,Linq-Embed-Mistral,900,450,450,1.0,0.68,0.85,1.0,0.68,0.85,1.0,0.5,0.5670854460164715,0.7957559681697612,OCD-full-balanced/emb-sentra.1-Linq-Embed-Mistral@cache_MI300X.csv
OCD,OCD-full-balanced,Octen-Embedding-8B,900,450,450,1.0,0.54,0.81,1.0,0.54,0.81,1.0,0.5,0.9845635716884118,0.9922822491730982,OCD-full-balanced/emb-sentra.1-Octen-Embedding-8B@cache_MI300X.csv
OCD,OCD-full-balanced,Qodo-Embed-1-7B,900,450,450,1.0,0.76,0.8,1.0,0.76,0.8,1.0,0.5,0.17919288976719824,0.680786686838124,OCD-full-balanced/emb-sentra.1-Qodo-Embed-1-7B@cache_MI300X.csv
OCD,OCD-full-balanced,Qwen3-Embedding-8B,900,450,450,1.0,0.72,0.78,1.0,0.72,0.78,1.0,0.5,0.6947674518794787,0.8514664143803217,OCD-full-balanced/emb-sentra.1-Qwen3-Embedding-8B@cache_MI300X.csv
OCD,OCD-full-balanced,SFR-Embedding-2_R,900,450,450,1.0,0.82,0.89,1.0,0.82,0.89,1.0,0.5,0.0,0.6666666666666666,OCD-full-balanced/emb-sentra.1-SFR-Embedding-2_R@cache_MI300X.csv
POJ,poj-full-balanced,C2LLM-7B,25948000,12974000,12974000,0.9989844187753345,0.55,0.55,0.9780999349530797,0.55,0.55,0.9890387646933069,0.5,0.9749923016842884,0.9875352957870795,poj-full-balanced/emb-sentra.1-C2LLM-7B@cache_MI300X.csv
POJ,poj-full-balanced,jina-code-embeddings-1.5b,25948000,12974000,12974000,0.9984343723821366,0.44,0.44,0.9689482230697866,0.44,0.44,0.9844531750995665,0.5,0.962351387727325,0.9808151939707703,poj-full-balanced/emb-sentra.1-jina-code-embeddings-1.5b@cache_MI300X.csv
POJ,poj-full-balanced,Linq-Embed-Mistral,25948000,12974000,12974000,0.995642368103275,0.73,0.73,0.942534045119245,0.73,0.73,0.9712283373425391,0.5,0.16587580299003366,0.6787843708894565,poj-full-balanced/emb-sentra.1-Linq-Embed-Mistral@cache_MI300X.csv
POJ,poj-full-balanced,Octen-Embedding-8B,25948000,12974000,12974000,0.9991954041131914,0.47,0.47,0.9809281411454948,0.47,0.47,0.9904624581694961,0.5,0.9796528257812313,0.9897807434797784,poj-full-balanced/emb-sentra.1-Octen-Embedding-8B@cache_MI300X.csv
POJ,poj-full-balanced,Qodo-Embed-1-7B,25948000,12974000,12974000,0.9949945210482302,0.73,0.73,0.9413520152490473,0.72,0.72,0.9705687201194106,0.5,0.14273140880798948,0.6756601676705583,poj-full-balanced/emb-sentra.1-Qodo-Embed-1-7B@cache_MI300X.csv
POJ,poj-full-balanced,Qwen3-Embedding-8B,25948000,12974000,12974000,0.9994439596676514,0.68,0.68,0.9842527940296933,0.67,0.67,0.9921277954395407,0.5,0.8942463027886013,0.9472898323255157,poj-full-balanced/emb-sentra.1-Qwen3-Embedding-8B@cache_MI300X.csv
POJ,poj-full-balanced,SFR-Embedding-2_R,25948000,12974000,12974000,0.9954518123195407,0.8,0.8,0.9418680188270082,0.8,0.8,0.9709711327788718,0.5,0.0006800467647063517,0.6666668722060137,poj-full-balanced/emb-sentra.1-SFR-Embedding-2_R@cache_MI300X.csv
