Paper,A,B,C,D,E,F,G,H,I,J,K,L
38,No,Yes,Yes,Yes,New,Yes,No,Yes,Yes,No,No,Yes
39,No,Yes,Yes,No,New,Yes,?,No,No,Yes,No,Yes
40,No,Yes,Yes,No,Old,Yes,?,No,Yes,Yes,No,Yes
43,No,Yes,Yes,Yes,?,Yes,No,No,No,Yes,No,Yes
44,No,Yes,Yes,No,New,Yes,?,No,No,No,No,Yes
45,No,Yes,Yes,Yes,?,Yes,?,No,No,No,No,Yes
46,No,Yes,Yes,No,Old,No,?,No,No,No,No,Yes
47,No,Yes,Yes,No,New,No,?,No,No,No,No,Yes
48,No,Yes,Yes,No,Old,Yes,?,No,Yes,No,No,Yes
49,No,Yes,Yes,Yes,New,Yes,No,No,No,No,No,Yes
50,No,Yes,Yes,No,New,Yes,?,No,Yes,Yes,No,Yes
51,No,Yes,Yes,No,?,?,?,?,?,No,No,Yes
52,No,Yes,Yes,Yes,Old,Yes,?,No,Yes,No,No,Yes
53,No,Yes,Yes,Yes,Old,Yes,?,No,Yes,No,No,Yes
55,No,Yes,Yes,No,?,?,?,?,?,?,?,Yes
56,No,Yes,Yes,No,New,No,?,No,Yes,No,No,Yes
57,No,Yes,Yes,Yes,Old,Yes,Yes,No,Yes,No,No,Yes
59,No,Yes,Yes,No,New,Yes,No,No,Yes,Yes,No,Yes
61,No,Yes,Yes,No,Old,Yes,No,No,No,Yes,No,Yes
62,No,Yes,Yes,Yes,?,?,No,?,?,?,No,Yes
64,No,Yes,Yes,No,?,No,No,No,No,Yes,No,Yes
65,No,Yes,Yes,No,New,No,No,No,No,No,No,Yes
72,No,Yes,Yes,Yes,?,?,?,?,?,?,?,Yes
74,No,Yes,Yes,No,?,No,?,No,No,No,No,Yes
75,No,Yes,Yes,No,?,Yes,?,Yes,No,No,No,Yes
80,No,Yes,Yes,No,?,Yes,?,No,Yes,No,No,Yes
82,No,Yes,Yes,No,?,Yes,?,No,No,No,No,Yes
83,No,Yes,Yes,No,New,Yes,?,No,No,No,No,Yes
84,No,Yes,Yes,No,?,?,?,?,?,No,No,Yes
85,No,Yes,Yes,No,New,No,No,No,No,No,No,Yes
88,No,Yes,Yes,Yes,?,Yes,Yes,No,Yes,No,No,Yes
89,No,Yes,Yes,Yes,New,?,?,No,No,No,No,Yes
92,No,Yes,Yes,No,?,No,?,No,Yes,No,No,Yes
94,No,Yes,Yes,Yes,?,Yes,?,No,No,No,No,Yes
96,No,Yes,Yes,No,New,No,Yes,No,No,No,No,Yes
97,No,Yes,Yes,Yes,Old,Yes,No,No,No,No,No,Yes
100,No,Yes,Yes,Yes,Old,?,?,No,Yes,No,No,Yes
101,No,Yes,Yes,No,?,?,?,No,?,No,No,Yes
103,No,Yes,Yes,No,?,?,?,?,?,No,No,Yes
104,No,Yes,Yes,No,New,No,No,No,No,No,No,Yes
105,No,Yes,Yes,Yes,?,?,?,?,?,No,No,Yes
109,No,Yes,Yes,Yes,?,Yes,?,No,Yes,No,No,Yes
112,No,Yes,Yes,No,?,Yes,?,No,Yes,No,No,Yes
114,No,Yes,Yes,Yes,Old,Yes,?,No,Yes,No,No,Yes
115,No,Yes,Yes,Yes,Old,Yes,?,No,No,No,No,Yes
118,No,Yes,Yes,Yes,Old,Yes,?,No,No,No,No,Yes
119,No,Yes,Yes,No,Old,No,?,No,No,No,No,Yes
122,No,Yes,Yes,No,Old,No,?,No,No,No,No,Yes
124,No,Yes,Yes,Yes,?,No,No,No,No,No,No,Yes
126,No,Yes,Yes,No,?,?,?,?,?,No,No,Yes
127,No,Yes,Yes,No,?,No,No,No,No,No,No,Yes
129,No,Yes,Yes,Yes,?,Yes,?,No,?,No,No,Yes
132,No,Yes,Yes,Yes,?,?,?,?,?,No,No,Yes
134,No,Yes,Yes,No,?,Yes,?,No,No,No,No,Yes
135,No,Yes,Yes,No,?,Yes,?,No,Yes,No,No,Yes
136,No,Yes,Yes,No,?,?,?,?,?,No,No,Yes
137,No,Yes,Yes,No,New,Yes,No,No,Yes,No,No,Yes
138,No,Yes,No,No,?,?,?,?,No,No,No,No
139,No,Yes,Yes,No,?,Yes,?,No,Yes,No,No,Yes
140,No,Yes,Yes,No,Old,Yes,?,No,No,No,No,Yes
141,No,Yes,Yes,Yes,?,Yes,No,No,No,No,No,Yes
144,No,Yes,Yes,Yes,Old,Yes,?,No,Yes,No,No,Yes
145,No,Yes,Yes,No,?,No,?,No,No,No,No,Yes
147,No,Yes,Yes,No,Old,Yes,?,No,Yes,No,No,Yes
148,No,Yes,Yes,No,?,?,?,No,?,No,No,Yes
149,No,No,Yes,No,New,Yes,?,No,Yes,No,No,Yes
151,No,Yes,Yes,Yes,Old,Yes,?,No,No,No,No,Yes
155,No,Yes,Yes,No,New,Yes,Yes,No,No,No,No,Yes
156,No,Yes,Yes,No,New,Yes,?,No,Yes,No,No,Yes
157,No,Yes,Yes,Yes,Old,Yes,?,Yes,No,No,No,Yes
158,No,Yes,Yes,Yes,New,Yes,No,No,Yes,No,No,Yes
161,No,Yes,Yes,No,New,No,No,No,No,No,No,Yes
163,No,Yes,Yes,Yes,?,Yes,?,?,?,No,No,Yes
164,No,Yes,Yes,Yes,New,Yes,No,No,No,No,No,Yes
165,No,Yes,Yes,No,?,Yes,?,No,Yes,No,No,Yes
166,No,Yes,Yes,Yes,New,Yes,No,No,No,No,No,Yes
167,No,Yes,Yes,No,New,Yes,Yes,No,No,No,No,Yes
168,No,Yes,Yes,Yes,?,Yes,?,No,Yes,No,No,Yes
171,No,Yes,Yes,No,New,No,No,No,No,No,No,Yes
174,No,Yes,Yes,No,Old,Yes,?,No,Yes,No,No,Yes
177,No,Yes,Yes,No,Old,Yes,?,No,Yes,No,Yes,Yes
179,No,Yes,Yes,No,Old,No,?,No,No,No,No,Yes
182,No,Yes,Yes,No,?,?,?,?,?,No,No,Yes
186,No,Yes,Yes,No,Old,Yes,?,No,No,No,No,Yes
188,No,Yes,Yes,Yes,Old,Yes,?,No,Yes,No,No,Yes
189,No,Yes,Yes,No,Old,No,?,No,No,No,No,Yes
193,No,Yes,Yes,No,?,?,?,?,?,No,No,Yes
194,No,Yes,Yes,No,?,Yes,?,No,Yes,No,No,Yes
198,No,Yes,Yes,No,?,Yes,?,No,No,No,No,Yes
199,No,Yes,Yes,Yes,New,Yes,No,No,No,No,No,Yes
200,No,Yes,Yes,No,?,No,?,No,No,Yes,No,Yes
204,No,Yes,Yes,No,?,No,No,No,No,No,No,Yes
207,No,Yes,Yes,Yes,Old,Yes,?,No,Yes,No,No,Yes
210,No,Yes,No,No,?,?,?,?,No,No,No,No
215,No,Yes,Yes,No,?,?,?,?,?,No,No,Yes
217,No,Yes,Yes,Yes,Old,Yes,No,No,No,Yes,No,Yes
219,No,Yes,Yes,No,Old,Yes,?,No,No,No,No,Yes
220,No,Yes,Yes,Yes,New,Yes,No,No,Yes,No,No,Yes
221,No,Yes,Yes,No,?,Yes,?,No,Yes,No,No,Yes
233,No,Yes,Yes,No,Old,No,?,No,No,No,No,Yes
248,No,Yes,Yes,Yes,?,Yes,?,Yes,No,No,No,Yes
250,No,Yes,Yes,No,New,Yes,No,No,No,Yes,No,Yes
253,No,Yes,Yes,Yes,Old,Yes,No,No,Yes,No,No,Yes
255,No,Yes,No,No,?,?,?,?,No,No,No,No
260,No,Yes,Yes,Yes,?,?,?,?,?,?,No,Yes
277,No,Yes,Yes,No,?,Yes,?,No,No,Yes,No,Yes
278,No,Yes,Yes,Yes,New,Yes,No,No,No,No,No,Yes
280,No,Yes,Yes,Yes,Old,Yes,No,No,Yes,No,No,Yes
285,No,Yes,Yes,No,New,No,No,No,No,No,No,Yes
288,No,Yes,Yes,No,New,Yes,No,No,No,Yes,No,Yes
295,No,Yes,Yes,No,Old,No,?,No,No,No,No,Yes
296,No,Yes,Yes,Yes,New,Yes,No,No,No,No,No,Yes
300,No,Yes,Yes,No,Old,Yes,Yes,No,No,No,No,Yes
304,No,Yes,Yes,No,?,?,?,No,No,No,No,Yes
310,No,Yes,Yes,Yes,Old,Yes,No,No,Yes,No,No,Yes
311,No,Yes,Yes,Yes,New,Yes,No,No,Yes,No,No,Yes
325,No,Yes,Yes,No,?,Yes,?,No,No,No,No,Yes
330,No,Yes,Yes,Yes,Old,Yes,?,No,No,No,No,Yes
331,No,Yes,Yes,No,?,?,?,?,?,?,No,Yes
334,No,Yes,Yes,No,?,Yes,?,No,Yes,No,No,Yes
339,No,Yes,Yes,No,?,Yes,Yes,No,No,No,No,Yes
341,No,Yes,Yes,No,New,No,No,No,No,No,Yes,Yes
342,No,Yes,Yes,Yes,?,No,No,No,No,No,No,Yes
358,No,Yes,Yes,No,New,No,No,No,No,Yes,No,Yes
361,No,Yes,Yes,Yes,Old,Yes,No,No,No,No,No,Yes
366,No,Yes,Yes,No,?,Yes,Yes,No,No,No,No,Yes
367,No,Yes,Yes,Yes,New,No,No,No,No,No,No,Yes
377,No,Yes,Yes,Yes,New,Yes,?,No,No,No,No,Yes
381,No,Yes,Yes,No,?,Yes,Yes,No,No,No,No,Yes
386,No,Yes,Yes,Yes,Old,Yes,Yes,No,No,Yes,No,Yes
390,No,Yes,No,No,?,?,?,?,No,No,No,No
408,No,Yes,No,No,?,?,?,?,No,No,No,No
413,No,Yes,Yes,Yes,New,Yes,?,No,Yes,No,No,Yes
416,No,Yes,Yes,Yes,?,Yes,Yes,No,No,No,No,Yes
422,No,Yes,Yes,No,?,Yes,?,No,No,Yes,No,Yes
434,No,Yes,Yes,No,?,?,No,?,?,No,No,Yes
459,No,Yes,Yes,No,?,No,No,No,Yes,No,No,Yes
478,No,Yes,Yes,Yes,Old,Yes,?,?,Yes,No,No,Yes
490,No,Yes,Yes,No,New,No,No,No,No,No,No,Yes
501,No,Yes,Yes,Yes,Old,Yes,?,No,No,No,No,Yes
502,No,Yes,Yes,Yes,?,Yes,?,Yes,No,No,No,Yes
503,No,Yes,Yes,No,New,Yes,?,Yes,Yes,No,No,Yes
505,No,Yes,Yes,No,Old,Yes,?,No,Yes,No,No,Yes
506,No,Yes,Yes,No,Old,Yes,?,No,Yes,No,No,Yes
507,No,Yes,Yes,No,Old,No,?,No,No,No,No,Yes
508,No,Yes,Yes,No,?,?,?,No,No,No,No,Yes
510,No,Yes,Yes,Yes,?,?,?,?,?,?,No,Yes
